ru,en
. Импорт отменен,. Import canceled
. Проставить зарезервированными?,. Leave reserved?
. Проставить ожидаемыми ?,. Put as expected?
[space](отгружено),[space](shipped)
[space](текущая),[space](current)
[space](теоретическое),[space](theoretical)
[space](фактическое),[space](actual)
[space]на[space],[space]on[space]
[space]начала,[space]start
[space]от[space],[space]from[space]
[space]открытия,[space]discoveries
[space]планируемая,[space]the planned
30 дней,30 days
7 дней,7 days
B2,RX
B3,R6
B4,R7
CI,FM
Cost price,Cost price
Счет-фактура,Invoice
H2,C0
MX,SL
№,No
O2,DL
ФA,IN
O3,W3
O5,W5
P2,RT
WP,DE
X-отчет,X-report
Автозаказ,Auto order
Автоматически генерировать штрихкод,Automatically generate barcode
Автоматически создавать входящий платеж,Automatically create incoming payment
Автоматически создавать исходящий платеж,Automatically create outgoing payment
Автоматически создавать отгрузку,Automatically create shipment
Автоматически создавать поступление,Automatically create receipt
Автоматически создавать производственный заказ,Automatically create a manufacturing order
Адрес,Address
Адрес доставки,Delivery address
Адрес получателя,Recipient[quote]s address
Адрес поставщика,Supplier address
Активен,Active
Активная,Active
Активные,Active
Активный,Active
Акционная,Promotional
Акционный,Promotional
Акционный прайс,Promotional price
Альфа-2,Alpha-2
Альфа-3,Alpha-3
АП,PA
Артикул,Article
Атрибут,Attribute
Атрибут обязателен для заполнения,The attribute is required
Атрибуты,Attributes
Атрибуты товаров,Product attributes
База распределения,Distribution base
Банк,Bank
Банки,Banks
Банковская карта,Bank card
Банковские счета,Bank accounts
Банковский счет,Bank account
Без изображени,No picture
Без изображения,Без изображения
Без цены,No price
БИК,BAC
Был заказ,There was an order
Был заказ на МХ,There was an order for SL
Быстрый товар (название),Quick item (name)
В месте,In place
В ожидании,Pending
В прайс-листе,In the price list
В процессе,During
В работу,To work
В чеке,In check
В2,R5
ВБ,R2
Введите дату :,Enter date:
Введите дату начала,Enter start date
Введите количество :,Enter quantity:
Введите планируемую дату,Enter the planned date
Введите себестоимость :,Enter cost price:
Ввод количества,Quantity input
Ввод начальных остатков,Entering initial balances
Ввод начальных остатков денежных средств,Entering initial cash balances
Ввод себестоимости,Entering cost
Веб сайт,Web site
Вернуть,Return
Вес,Weight
Вес единицы[comma] кг,Unit weight[comma] kg
ВЗ,RX
Вид,View
Вид изменения цен,Price change type
Вид упаковки,Type of packaging
Вид цен,Price type
Вид цены,Price type
Виды цен,Types of prices
Виды цены,Price types
ВК,CX
Вкл,C.Tax
Вкл.,On.
Включенные,Included
Владелец,Owner
Владелец счета кассы не совпадает с компанией в методе оплаты,Cash account owner does not match the company in the payment method
Владелец счета компании не совпадает с компанией в исходящем платеже,The company account holder does not match the company in the outgoing payment
Владелец счета компании не совпадает с компанией во входящем платеже,The company account holder does not match the company in the incoming payment
Владелец счета контрагента не совпадает с контрагентом в исходящем платеже,The Partner account owner does not match the Partner in the outgoing payment
Владелец счета контрагента не совпадает с контрагентом во входящем платеже,The Partner account owner does not match the Partner in the incoming payment
Владелец счета центральной кассы не совпадает с компанией в методе оплаты,Central checkout account holder does not match the company in the payment method
Внесение,Introduction
Внесение денег,Depositing money
Внесение денег в ККМ,Depositing money to Fiscal printer
Внесение/изъятие денег,Deposit / withdrawal of money
Внутренний платеж,Internal payment
Возврат,Return
Возврат на счет покупателю,Return to customer account
Возврат на счет поставщику,Return to supplier account
Возврат наличными покупателю,Cash back to Client
Возврат наличных поставщику,Cash back to Vendor
Возврат поставщику,Return to Vendor
Возвратов,Refunds
Возвраты,Refunds
Возвращено,Returned
ВП,RS
Время,Time
Вручную,Manually
Все,All
Входящая задолженность,Incoming debt
Входящая проводка,Incoming wiring
входящего платежа,incoming payment
Входящие платежи,Incoming payments
Входящий номер заказчика,Incoming customer number
Входящий номер поставщика,Incoming vendor number
Входящий платeж,Incoming payment
Вчера,Yesterday
Выбор,Choice
Выбор категории,Category selection
Выбор контрагента,Select Partner
Выбор номенклатуры,Select Item
Выбор продукции,Product selection
Выбор скидки,Discount selection
Выбор спецификации,Specification selection
Выбор типа прайс-листа,Choosing the type of price list
Выбран тип отгрузки не являющийся перемещением,The selected shipment type is not a transfer
Выбрана единица измерения контрагента[comma] для которой не задано соотношение,The Partner unit of measure is selected for which the ratio is not specified
Выбрана заблокированная дисконтная карта,Blocked discount card selected
Выбрано недопустимое значение для данной номенклатуры,An invalid value was selected for this item
Выбрать,Choose
Выбрать дату,Select date
Выемка,Notch
Выемка денег,Seizure of money
Выемка денег из ККМ,Taking money out of the cash register
Выставлено счетов,Billed
Габаритный вес,Overall weight
Город,City
Группа,Group
Группа 1,Group 1
Группа 2,Group 2
Группа 3,Group 3
Группа 4,Group 4
Группа налога,Tax group
Группа налогов,Tax group
Группа полная,Full group
Группы налогов,Tax groups
Дата,Date
Дата блокировки,Lock date
Дата блокировки дисконтной карты не может быть раньше даты выпуска,The blocking date of the discount card cannot be earlier than the issue date
Дата выпуска,Date of issue
Дата декларирования,Declaration date
Дата начала,start date
Дата отгрузки,Shipping date
Дата последнего прихода, Date of last arrival
Дата поставки,Delivery date
Дата поступления,Receipt Date
Дата производства,date of manufacture
Дата с,Date s
Дата[comma] с которой пересчитывать,Date from which to recalculate
Движение денежных средств,Flow of funds
Движение товара,Movement of Products
Движения,Movement
Действия,Actions
Действует с,Valid from
Дерево,Tree
Держатель счета,Account holder
Дисконтная карта,Discount card
Дисконтная карта заблокирована,Discount card blocked
Дисконтные карты,Discount cards
Для выбранного места не задано соотношение перевода в базовую единицу измерения,The selected location does not have a conversion ratio to the base unit of measure
Для реализации выбран недопустимый для типа вид цены[comma] (не)включающий налоги,For implementation[comma] a price type that is not valid for the type has been selected
Для типа заказа выбран недопустимый вид цены[comma] (не)включающий налоги,Invalid price type selected for order type[comma] (not) including taxes
Для типа реализации выбран недопустимый вид цены[comma] (не)включающий налоги,Invalid price type selected for the type of implementation[comma] (not) including taxes
Для этого типа платежа банковские счета компании не разрешены,Company bank accounts are not allowed for this type of payment
Для этого типа платежа банковские счета контрагента не разрешены,Partner bank accounts are not allowed for this type of payment
Для этого типа платежа кассы компании не разрешены,For this type of payment
Для этого типа платежа кассы контрагента не разрешены,Partner cash desks are not allowed for this type of payment.
Дни,Days
Добавить,Add to
Добавить в чек,Add to check
Добавлен штрихкод,Added barcode
Добавлена номенклатура,Item added
Добавлена строка,Added line
Добавлена строка с индексом[space],Added line with index[space]
Документ,Document
Документы,Documents
Долг,Debt
Долги по контрагенту,Partner debts
Должен быть наш работник,Should be our worker
Должен быть разрешен хотя бы один вид счета,At least one account type must be allowed
Должность,Position
Доля стоимости,Share of cost
Допечатать,Print
Доступен,Available
Доступно,Available
Доступно (откуда),Available (from)
Доступные,Available
Доступный остаток,Available balance
Доход,Income
Драйвер,Driver
Драйвер ККТ,Fiscal driver
Драйверы,Drivers
Другие единицы измерений,Other UOMs
Ед. изм.,UOM name
Ед. изм. контрагента,Unit rev. Partner
Единица измерения,Unit of measurement
Единицы измерений,Units of measurement
Единицы измерения,Units
ЕИ,UM
Завершен,Completed
Завершена,Completed
Завершить,Complete
Завтра,Tomorrow
Загрузить,Download
Загрузка изображений,Loading images
Задание на отгрузку,Shipment task
Задание на поступление,Assignment for admission
Задолженность,Debt
Заказ,Order
Заказ №,Order no.
Заказ мобильный,Mobile order
Заказ покупателя,Purchase Order
Заказ поставщику,Purchase Order
заказа покупателя,Sales order
заказа поставщику,Purchase order
Заказанное количество,Ordered quantity
Заказано,Ordered
